Sample date,Weather,Location,Site Reference,Temperature,pH ,Conductivity,Dissolved Oxygen,Turburdity,Nitrite ,Nitrate ,Total Coliforms ,E-Coli,Faecal Streptococci,Ammonium as NH4 ,B.O.D ,C.O.D. ,Phosphate mg/l,Salinity (ppt)
1995/06/21,,Gas works at Malago Vale,7,15,7.6,766,70,50,0.084,0.11,3700,500,,,2,,,
1995/06/21,,Lynet Way,8,16,8.1,764,88,9,0.055,0.17,280000,36000,,,11,,,
1995/06/21,,Cadogan Road,10,14,7.6,800,60,35,0.178,0.2,32000,19000,,,30,,,
1995/06/23,,Allison Road,9,13,7.5,770,71,7,0.067,0.42,260000,58000,,,3,,,
1995/06/23,,St Georges Park Lake,11,20,7.6,810,45,20,0.074,0.089,1600,400,,,5,,,
1995/06/23,,Dubbers Lane,12,13,7.7,2350,108,15,0.048,0.021,190000,24000,,,26,,,
1995/06/23,,Eastville Park Lake,13,22,7.7,790,106,19,0.006,0.021,3200,200,,,18,,,
1995/06/23,,Snuff Mills,14,15,7.9,740,97,31,0.018,0.8,1400,200,,,3,,,
1995/06/23,,Mina Park ,15,12,7.7,1060,88,62,0.082,0.055,72000,8600,,,6,,,
1995/06/23,,Conham Vale,16,17,8.1,770,,34,0,0.31,20000,3200,,,,,,
1995/07/19,,Avonmouth Rhine,1,,,,,,0.121,0.34,6000,2200,,,28,,,
1995/07/19,,Trowbridge Road,2,,,,,,0.183,0.055,4000000,2400000,,,17,,,
1995/07/19,,Coombe Dingle,3,,,,,,0.009,0.021,7200,3200,,,2,,,
1995/07/19,,Ashton vale,4,,,,,,0.099,0.068,310000,58000,,,4,,,
1995/07/19,,Hartcliffe Way,5,,,,,,0.11,0.2,2000,200,,,12,,,
1995/07/19,,Manor Wood,6,,,,,,0.079,,100000,56000,,,5,,,
1995/07/19,,Gas works at Malago Vale,7,17,7.5,888,,0,0.027,0.021,18000,400,,,2,,,
1995/07/19,,Lynet Way,8,18,7.9,840,,7,0.019,0.036,430000,110000,,,13,,,
1995/07/19,,Allison Road,9,18,7.7,875,,59,0.189,1,180000,70000,,,6,,,
1995/07/19,,Cadogan Road,10,17,7.54,908,,21,0.5,1,730000,220000,,,15,,,
1995/07/19,,St Georges Park Lake,11,23,7.7,798,,69,0.431,1,600,400,,,4,,,
1995/07/19,,Dubbers Lane,12,15,7.6,2240,,51,0.139,1,380000,84000,,,11,,,
1995/07/19,,Eastville Park Lake,13,26,8.23,,,23,0.007,0.072,600,400,,,11,,,
1995/07/19,,Snuff Mills,14,18,7.95,,,57,0.009,1,600,400,,,2,,,
1995/07/19,,Mina Park ,15,14,7.9,,,52,0.012,1,12000,12000,,,2,,,
1995/07/19,,Conham Vale,16,21,8,785,,152,0.093,1,8600,2600,,,3,,,
1995/08/31,,Avonmouth Rhine,1,,,1664,,15,0.102,0.036,200,200,,,4,,,
1995/08/31,,Trowbridge Road,2,,,890,,18,0.16,0.65,920000,560000,,,43,,,
1995/08/31,,Coombe Dingle,3,,,1010,,22,0.004,0.24,4200,2400,,,2,,,
1995/08/31,,Ashton vale,4,,,1160,,10,0.096,0.7,72000,1800,,,2,,,
1995/08/31,,Hartcliffe Way,5,,,660,,18,0.084,0.22,2400,2000,,,3,,,
1995/08/31,,Manor Wood,6,,,680,,19,0.124,0.24,86000,62000,,,3,,,
1995/08/31,,Gas works at Malago Vale,7,,,881,,13,0.021,0.24,6400,1400,,,9,,,
1995/08/31,,Lynet Way,8,,,920,,14,0.046,0.2,520000,38000,,,2,,,
1995/09/01,,Allison Road,9,,,905,,43,0.042,,140000,18000,,,2,,,
1995/09/01,,Cadogan Road,10,,,988,,46,0.353,0.13,6400000,1900000,,,63,,,
1995/09/01,,St Georges Park Lake,11,,,953,,31,0.218,,3000,800,,,4,,,
1995/09/01,,Dubbers Lane,12,,,2330,,54,0.212,,340000,220000,,,11,,,
1995/09/01,,Eastville Park Lake,13,,,917,,24,0.027,0.047,2400,200,,,14,,,
1995/09/01,,Snuff Mills,14,,,856,,34,0.006,0.12,2600,400,,,2,,,
1995/09/01,,Mina Park ,15,,,1033,,64,0.046,,80000,11000,,,4,,,
1995/09/01,,Conham Vale,16,,,818,,30,0.051,,11000,1200,,,8,,,
1995/09/21,,Avonmouth Rhine,1,13,7.47,1440,60,18,0.5,0.6,3800,200,,,15,,,
1995/09/21,,Trowbridge Road,2,15,7.4,810,89,5,0.387,,720000,360000,,,5,,,
