Sample date,Weather,Location,Site Reference,Temperature,pH ,Conductivity,Dissolved Oxygen,Turburdity,Nitrite ,Nitrate ,Total Coliforms ,E-Coli,Faecal Streptococci,Ammonium as NH4 ,B.O.D ,C.O.D. ,Phosphate mg/l,Salinity (ppt)
2001/01/30,,Trowbridge Road,2,7.4,7.5,1000,,300,,,300000,11000,,0.68,14,,,
2001/01/30,,Coombe Dingle,3,6.8,7.6,1150,,160,,,26000,6600,,0.26,3,,,
2001/01/30,,Crow Lane,3a,6.6,7.6,1070,,55,,,15000,9200,,0.31,5,,,
2001/01/30,,Ashton vale,4,6,7.45,1250,,150,,,12000,4600,,0.49,2,,,
2001/01/30,,Hartcliffe Way,5,7.2,7.4,700,,150,,,40000,4400,,0.73,3,,,
2001/01/30,,Manor Wood,6,7,,750,,130,,,17000,4600,,0.21,3,,,
2001/01/30,,Malago Vale gasworks,7,7,,1100,,140,,,6400,2400,,0.51,6,,,
2001/01/31,,Lynet Way,8,7.2,7.8,630,,140,,,34000,5400,,0.2,17,,,
2001/01/31,,Allison Road,9,7,7.7,620,,140,,,32000,4400,,0.49,8,,,
2001/01/31,,Cadogan Road,10,7.4,7.4,700,,150,,,20000,3800,,0.33,2,,,
2001/01/31,,St Georges Park Lake,11,4.4,7.4,570,,130,,,200,,,0.41,2,,,
2001/01/31,,Dubbers Lane,12,11,7.45,1930,,160,,,800,600,,52.4,<2,,,
2001/01/31,,Eastville Park Lake,13,3.6,7.55,560,,150,,,400,400,,0.39,7,,,
2001/01/31,,Snuff Mills,14,6.2,7.7,710,,150,,,2200,1000,,0.44,<2,,,
2001/01/31,,Mina Park ,15,10,7.7,920,,430,,,27000,8600,,0.47,<2,,,
2001/01/31,,Conham Vale,16,5.8,7.7,590,,150,,,12000,6200,,0.62,<2,,,
2001/03/26,,Avonmouth Rhine,1,8,,520,35,,,,1400,200,,3.04,3,,,
2001/03/26,,Trowbridge Road,2,8,,540,77,,,,420000,15000,,0.34,4,,,
2001/03/26,,Coombe Dingle,3,8.2,,550,79,,,,3400,200,,0.2,<2,,,
2001/03/26,,Ashton vale,4,6.6,7.71,580,65,,,,6600,1600,,0.9,3,23,,
2001/03/26,,Hartcliffe Way,5,7.6,,520,88,,,,17000,2200,,0.56,<2,,,
2001/03/26,,Manor Wood,6,7.4,,480,87,,,,360000,5000,,0.4,3,,,
2001/03/26,,Malago Vale gasworks,7,7.6,,830,7.3,,,,2600,,,1.03,3,,,
2001/03/26,,Dubbers Lane,12,,7.55,1480,,,,,1400,200,,37.1,<2,29,,
2001/03/26,,Crow Lane,3a,7.4,,640,63,,,,1000,200,,0.3,<2,,,
2001/05/02,,Avonmouth Rhine,1,,,,,,,,200,200,200,11.9,37,,,
2001/05/02,,Trowbridge Road,2,,,,,,,,180000,14000,4200,0.69,5,,,
2001/05/02,,Coombe Dingle,3,,,,,,,,4200,600,200,0.12,2,,,
2001/05/02,,Ashton vale,4,,7.4,857,,,,,3200,2600,200,0.92,3,20,,
2001/05/02,,Hartcliffe Way,5,,,,,,,,6400,1400,200,0.49,4,,,
2001/05/02,,Manor Wood,6,,,,,,,,12000,5600,7800,0.16,4,,,
2001/05/02,,Malago Vale gasworks,7,,,,,,,,2400,1200,200,0.16,3,,,
2001/05/02,,Lynet Way,8,,,,,,,,15000,5000,200,0.25,4,,,
2001/05/02,,Cadogan Road,10,,,,,,,,32000,14000,600,0.2,12,,,
2001/05/02,,Crow Lane,3a,,,,,,,,11000,9400,2000,0.45,10,,,
2001/05/29,,Avonmouth Rhine,1,16,6.85,680,3,,,,400,200,,,,,,
2001/05/29,,Trowbridge Road,2,18.4,8.4,310,160,,,,80000,8200,,,,,,
2001/05/29,,Coombe Dingle,3,14,7.55,330,71,,,,20000,1000,,,,,,
2001/05/29,,Ashton vale,4,13.8,7.3,400,59,,,,48000,12000,,,,,,
2001/05/29,,Hartcliffe Way,5,16.4,7.55,330,101,,,,12000,400,,,,,,
2001/05/29,,Crow Lane,3a,14.2,7.35,390,55,,,,40000,6000,,,,,,
2001/05/31,,Manor Wood,6,12.6,7.15,420,67,,,,140000,5800,,,,,,
2001/05/31,,Malago Vale gasworks,7,14.8,7.55,430,95,,,,6000,2400,,,,,,
2001/05/31,,Lynet Way,8,13.4,7.4,480,63,,,,120000,12000,,,,,,
2001/05/31,,Allison Road,9,13.4,7.3,450,69,,,,220000,120000,,,,,,
2001/05/31,,Cadogan Road,10,13,7.2,470,65,,,,580000,29000,,,,,,
2001/05/31,,St Georges Park Lake,11,19,7.35,410,14,,,,400,200,,,,,,
2001/05/31,,Dubbers Lane,12,13,7.15,1010,7.15,,,,4200,400,,,,,,
2001/05/31,,Eastville Park Lake,13,20.4,7.5,370,68,,,,200,200,,,,,,
2001/05/31,,Snuff Mills,14,14.6,7.95,450,81,,,,1200,400,,,,,,
2001/05/31,,Mina Park ,15,12,7.9,600,80,,,,5400,1600,,,,,,
2001/05/31,,Conham Vale,16,16.4,7.75,400,92,,,,3400,1400,,,,,,
2001/07/09,,Lynet Way,8,,,,,,,,440000,20000,,0.15,2,,,
2001/07/09,,Allison Road,9,,,,,,,,520000,100000,,0.35,5,,,
2001/07/09,,Cadogan Road,10,,,,,,,,60000,11000,,0.1,5,,,
2001/07/09,,St Georges Park Lake,11,,,,,,,,4600,2200,,0.13,10,,,
2001/07/09,,Dubbers Lane,12,,,,,,,,540000,18000,,33,6,46,,
2001/07/09,,Eastville Park Lake,13,,,,,,,,9200,4600,,0.19,15,,,
2001/07/09,,Snuff Mills,14,,,,,,,,7600,2400,,0.21,2,,,
2001/07/09,,Mina Park ,15,,,,,,,,40000,6400,,0.34,3,,,
2001/07/09,,Conham Vale,16,,,,,,,,15000,1400,,0.6,3,,,
2001/07/12,,Avonmouth Rhine,1,,,,,,,,9000,3600,,8.5,14,,,
2001/07/12,,Trowbridge Road,2,,,,,,,,64000,23000,,0.9,4,,,
2001/07/12,,Coombe Dingle,3,,,,,,,,100000,27000,,1.1,6,,,
2001/07/12,,Ashton vale,4,,,,,,,,60000,15000,,1.5,6,,,
2001/07/12,,Hartcliffe Way,5,,,,,,,,16000,6000,,1.1,3,,,
2001/07/12,,Manor Wood,6,,,,,,,,80000,16000,,1.1,3,,,
2001/07/12,,Malago Vale gasworks,7,,,,,,,,40000,9600,,1.5,2,,,
2001/07/12,,Crow Lane,3a,,,,,,,,87000,24000,,1.4,6,,,
2001/08/29,,Trowbridge Road,2,19,7.8,,91,,,,9200000,1300000,,0.56,22,,,
2001/08/29,,Coombe Dingle,3,12.8,7.3,,77,,,,240000,6200,,0.06,< 2,,,
2001/08/29,,Ashton vale,4,13.2,7.15,,35,,,,660000,140000,,0.34,3,36,,
2001/08/29,,Hartcliffe Way,5,15.6,7.5,,93,,,,18000,800,,0.07,3,,,
2001/08/29,,Manor Wood,6,15.2,7.25,,67,,,,180000,20000,,0.34,< 2,,,
2001/08/29,,Malago Vale gasworks,7,13,7.35,,62,,,,4000,1800,,0.16,,,,
2001/08/29,,Crow Lane,3a,13.6,7.35,,63,,,,1800,1400,,0.07,< 2,,,
2001/08/30,,Lynet Way,8,13.6,7.15,,59,,,,1200000,60000,,,5,,,
2001/08/30,,Allison Road,9,14.2,7.5,,61,,,,840000,60000,,,3,,,
2001/08/30,,Cadogan Road,10,14.2,2.3,,229,,,,620000,40000,,,3,,,
2001/08/30,,St Georges Park Lake,11,18.4,7.45,,34,,,,3200,2600,,,4,,,
2001/08/30,,Dubbers Lane,12,13.4,7.3,,54,,,,2400,800,,40,6,40,,
2001/08/30,,Eastville Park Lake,13,18.4,7.55,,116,,,,4200,2800,,,14,,,
2001/08/30,,Snuff Mills,14,13.8,7.55,,72,,,,1800,1200,,,2,,,
2001/08/30,,Mina Park ,15,12.2,7.6,,77,,,,80000,8400,,,3,,,
2001/08/30,,Conham Vale,16,17,7.5,,71,,,,18000,5400,,,3,,,
2001/09/13,,St Georges Park Lake,11,14.4,7.1,610,24,,,,1800,1600,,1.8,2,,,
2001/09/13,,St Georges Park Lake,11,14.2,7.1,610,18,,,,,,,,,,,
2001/09/13,,St Georges Park Lake,11,14.6,7.15,600,24,,,,3200,1600,,,,,,
2001/09/13,,St Georges Park Lake,11,14.4,7.1,610,21,,,,,,,,,,,
2001/09/13,,St Georges Park Lake,11,14.2,7.1,610,24,,,,1600,1000,,,,,,
2001/09/13,,St Georges Park Lake,11,14,7.05,610,22,,,,,,,,,,,
2001/09/26,,Trowbridge Road,2,14.6,7.25,,71,,,,420000,60000,,0.98,6,,,
2001/09/26,,Coombe Dingle,3,10.8,7.05,,59,,,,960000,180000,,0.23,9,,,
2001/09/26,,Ashton vale,4,10.8,7.35,953,17,,,,6200,400,,3,11,39,,
2001/09/26,,Hartcliffe Way,5,11.2,11.2,770,84,,,,6600,1000,,0.27,8,,,
2001/09/26,,Malago Vale gasworks,7,10.4,7.25,970,56,,,,1100000,220000,,0.26,< 2,,,
2001/09/26,,Crow Lane,3a,11.6,7.25,,55,,,,1500000,620000,,0.28,5,,,
2001/09/27,,Manor Wood,6,14.2,7.25,590,68,,,,80000,15000,,0.4,4,,,
2001/09/27,,Lynet Way,8,12.4,7.25,690,48,,,,560000,100000,,1.72,5,,,
2001/09/27,,Allison Road,9,13,7.35,590,57,,,,380000,60000,,0.48,16,,,
2001/09/27,,Cadogan Road,10,13.6,7.15,820,52,,,,21000,6400,,0.3,5,,,
2001/09/27,,St Georges Park Lake,11,13.6,7.55,670,63,,,,11000,4200,,2.18,6,,,
2001/09/27,,Dubbers Lane,12,12.6,7.55,1470,60,,,,280000,7000,,44.1,4,43,,
2001/09/27,,Conham Vale,16,12.8,7.35,810,72,,,,15000,3400,,0.77,3,,,
2001/10/24,,Avonmouth Rhine,1,,,,,,,,,,,,,,,
2001/10/24,,Trowbridge Road,2,13,7.35,690,76,,,,80000,60000,,0.3,4,,,
2001/10/24,,Coombe Dingle,3,12.8,7.5,420,65,,,,15000,3400,,0.19,< 2,,,
2001/10/24,,Ashton vale,4,13,7.45,390,86,,,,340000,20000,,1.07,4,,,
2001/10/24,,Hartcliffe Way,5,12.2,7.1,510,74,,,,19000,10000,,0.45,3,,,
2001/10/24,,Manor Wood,6,12.4,7,720,83,,,,17000,3200,,0.26,< 2,,,
2001/10/24,,Malago Vale gasworks,7,12.2,7,170,51,,,,5400,1800,,0.25,< 2,,,
2001/10/24,,Cadogan Road,10,12.4,7.45,610,68,,,,14000,4200,,0.26,4,,,
2001/10/24,,Crow Lane,3a,12.4,7.5,520,67,,,,40000,5200,,0.26,< 2,,,
2001/10/25,,Lynet Way,8,11.8,7.55,558,86,,,,16000,5600,,0.48,< 2,,,
2001/10/25,,Allison Road,9,12,7.45,570,87,,,,300000,16000,,0.49,3,,,
2001/10/25,,St Georges Park Lake,11,12.4,7.4,620,48,,,,2000,1000,,1,5,,,
2001/10/25,,Dubbers Lane,12,12.2,7.6,1260,78,,,,4800,1400,,17.1,2,20,,
2001/10/25,,Eastville Park Lake,13,11.2,7.2,440,49,,,,4600,1600,,1.25,5,,,
2001/10/25,,Snuff Mills,14,11.8,7.4,580,90,,,,140000,60000,,0.5,2,,,
2001/10/25,,Mina Park ,15,11.8,7.5,770,84,,,,3800,1600,,0.57,3,,,
2001/10/25,,Conham Vale,16,11.4,7.45,750,89,,,,19000,8400,,0.68,5,,,
2001/11/27,,Trowbridge Road,2,9.2,7.45,720,68,,,,300000,100000,,0.4,8,,,
2001/11/27,,Coombe Dingle,3,7.8,7.4,740,78,,,,80000,7600,,0.4,6,,,
2001/11/27,,Ashton vale,4,6.2,7.05,1040,50,,,,620000,18000,,2.3,25,,,
2001/11/27,,Malago Vale gasworks,7,6.6,7.3,1040,65,,,,6200,400,,,3,,,
2001/11/27,,Cadogan Road,10,8.6,7.15,810,60,,,,60000,9400,,,6,,,
2001/11/27,,Crow Lane,3a,6.8,7.5,930,44,,,,19000,4400,,,9,,,
2001/11/29,,Avonmouth Rhine,1,,,,,,,,,,,,,,,
2001/11/29,,Hartcliffe Way,5,9.2,7.4,570,65,,,,17000,1800,,0.3,3,,,
2001/11/29,,Manor Wood,6,10.2,7.4,500,69,,,,320000,100000,,0.8,6,,,
2001/11/29,,Lynet Way,8,10.2,7.45,710,63,,,,120000,8600,,0.1,6,,,
2001/11/29,,Allison Road,9,9.4,7.35,680,65,,,,18000,6000,,0.1,16,,,
2001/11/29,,St Georges Park Lake,11,7.2,7.15,540,49,,,,15000,6600,,1,3,,,
2001/11/29,,Dubbers Lane,12,10.4,6.9,650,79,,,,260000,13000,,8.8,5,,,
2001/11/29,,Eastville Park Lake,13,7.2,7.5,650,49,,,,800,800,,0.2,6,,,
2001/11/29,,Snuff Mills,14,7.2,7.45,860,75,,,,6600,2400,,0.1,3,,,
2001/11/29,,Conham Vale,16,7.8,7.5,820,73,,,,,,,,,,,
2002/01/15,,Avonmouth Rhine,1,7.6,6.85,1000,10,,,,600,,,38.2,3,,,
2002/01/15,,Trowbridge Road,2,6.8,7.35,600,58,,,,2200,2000,,1.28,17,,,
2002/01/15,,Coombe Dingle,3,6.2,7.35,1060,66,,,,80000,17000,,0.47,< 2,,,
2002/01/15,,Crow Lane,3a,6.6,7.1,1350,43,,,,80000,18000,,1.31,4,,,
2002/01/15,,Ashton vale,4,6.2,7.59,750,30,,,,360000,18000,,1.83,> 60,137,,
2002/01/15,,South Liberty Lane,4a,6,7.78,787,67,,,,1400,1400,,0.34,12,38,,
2002/01/15,,Hartcliffe Way,5,6.2,7.15,670,69,,,,40000,2800,,0.84,3,,,
2002/01/15,,Manor Wood,6,7,7.25,560,72,,,,480000,15000,,1.32,11,,,
2002/01/15,,Malago Vale gasworks,7,6.6,7.25,780,83,,,,4600,1200,,0.33,< 2,,,
2002/01/15,,Lynet Way,8,6,7.3,680,67,,,,180000,5800,,0.41,5,,,
2002/01/15,,Cadogan Road,10,7,7.05,590,61,,,,220000,8600,,0.76,33,,,
2002/01/17,,Allison Road,9,6.4,7.3,640,57,,,,320000,140000,,0.92,6,,,
2002/01/17,,St Georges Park Lake,11,5.2,7,440,34,,,,400,400,,1.6,3,,,
2002/01/17,,Dubbers Lane,12,8.6,7.69,1510,69,,,,4200,200,,31.3,< 2,25,,
2002/01/17,,Eastville Park Lake,13,5.6,7.35,530,68,,,,600,400,,0.2,8,,,
2002/01/17,,Snuff Mills,14,5.6,7.55,710,75,,,,800,800,,0.2,3,,,
2002/01/17,,Mina Park ,15,9,7.6,720,91,,,,5600,1400,,0.3,4,,,
2002/01/17,,Conham Vale,16,5.6,7.45,630,71,,,,17000,15000,,0.8,4,,,
2002/02/27,,Allison Road,9,4.6,7.4,260,76,,,,180000,120000,,0.28,6,,,
2002/02/27,,St Georges Park Lake,11,5.8,7.5,360,71,,,,4400,2600,,0.41,3,,,
2002/02/27,,Dubbers Lane,12,5.2,7.05,400,71,,,,9600,2600,,,,,,
2002/02/27,,Eastville Park Lake,13,5.2,7.5,380,68,,,,3400,3400,,0.2,4,,,
2002/02/27,,Snuff Mills,14,4.8,7.35,380,74,,,,11000,6200,,0.38,5,,,
2002/02/27,,Mina Park ,15,6.2,7.55,370,75,,,,120000,4200,,0.26,3,,,
2002/02/27,,Conham Vale,16,6.2,7.4,260,76,,,,15000,9800,,0.37,3,,,
2002/02/28,,Avonmouth Rhine,1,5.2,7.1,550,43,,,,1400,200,,0.05,3,,,
2002/02/28,,Trowbridge Road,2,6.6,7.15,460,71,,,,17000,58000,,0.32,6,,,
2002/02/28,,Coombe Dingle,3,6.2,7.35,580,72,,,,4200,1800,,0.15,4,,,
2002/02/28,,Crow Lane,3a,6.4,7.1,630,59,,,,12000,12000,,0.16,3,,,
2002/02/28,,Ashton vale,4,6.2,7,560,57,,,,220000,80000,,1.39,10,,,
2002/02/28,,South Liberty Lane,4a,6,7.53,572,65,,,,800,1200,,0.21,3,15,,
2002/02/28,,Manor Wood,6,6.6,7.25,,78,,,,11000,4600,,0.23,3,,,
2002/02/28,,Malago Vale gasworks,7,7.2,7.1,620,72,,,,13000,4200,,0.55,6,,,
2002/02/28,,Lynet Way,8,6.2,7.35,560,79,,,,3400,3200,,0.31,3,,,
2002/03/26,,Avonmouth Rhine,1,9.8,6.95,600,,,,,800,200,,21.2,10,,,
2002/03/26,,Trowbridge Road,2,9.2,7.95,510,,,,,18000,10000,,0.24,6,,,
2002/03/26,,Coombe Dingle,3,8.6,7.75,580,,,,,860000,260000,,0.2,4,,,
2002/03/26,,Crow Lane,3a,8.8,7.55,600,,,,,16000,7000,,0.4,3,,,
2002/03/26,,Ashton vale,4,7.8,7.15,640,,,,,140000,15000,,2.12,10,,,
2002/03/26,,South Liberty Lane,4a,8.2,7.65,701,,,,,200,200,,0.02,4,17,,
2002/03/26,,Hartcliffe Way,5,9,7.75,480,,,,,9200,4800,,0.49,3,,,
2002/03/26,,Manor Wood,6,9,7.65,440,,,,,16000,8200,,0.32,5,,,
2002/03/26,,Malago Vale gasworks,7,9.4,7.8,540,,,,,13000,3600,,0.28,4,,,
2002/03/26,,Lynet Way,8,5.4,7.65,610,,,,,11000,3400,,,4,,,
2002/03/26,,Allison Road,9,5.6,8.3,570,,,,,7000,4400,,,4,,,
2002/03/26,,Cadogan Road,10,9.4,7.5,510,,,,,220000,60000,,0.39,5,,,
2002/03/26,,St Georges Park Lake,11,9.2,7.75,360,,,,,4200,,,,5,,,
2002/03/26,,Dubbers Lane,12,9.2,7.37,1320,,,,,800,,,7.04,8,15,,
2002/03/26,,Eastville Park Lake,13,10.6,7.95,400,,,,,,,,0.04,13,,,
2002/03/26,,Snuff Mills,14,7.8,8.4,530,,,,,,,,0.12,4,,,
2002/03/26,,Mina Park ,15,9.8,8,480,,,,,2400,,,0.06,< 2,,,
2002/03/26,,Conham Vale,16,7.6,8.1,430,,,,,8600,5000,,0.39,3,,,
2002/04/15,,Avonmouth Rhine,1,9.4,7.45,770,61,,,,4600,800,,34.8,7,,,
2002/04/15,,Trowbridge Road,2,10.2,8,470,79,,,,20000,3200,,0.85,5,,,
2002/04/15,,Coombe Dingle,3,7.4,8.1,540,80,,,,4200,3400,,0.17,< 2,,,
2002/04/15,,Ashton vale,4,6.8,7.55,670,32,,,,320000,220000,,2.34,15,,,
2002/04/15,,Hartcliffe Way,5,8.2,7.8,490,83,,,,2600,600,,0.53,7,,,
2002/04/15,,Manor Wood,6,9,7.7,460,77,,,,120000,80000,,0.57,< 2,,,
2002/04/15,,Malago Vale gasworks,7,8.6,7.7,540,81,,,,4600,1800,,0.28,4,,,
2002/04/15,,Lynet Way,8,7.6,8.56,560,71,,,,40000,1600,,0.24,2,,,
2002/04/15,,Cadogan Road,10,9.2,7.45,520,52,,,,220000,40000,,5.55,22,,,
2002/04/17,,Crow Lane,3a,7.2,8.4,650,61,,,,200000,7000,,0.84,4,,,
2002/04/17,,South Liberty Lane,4a,,,,,,,,,,,,,,,
2002/04/17,,Allison Road,9,8.2,8.45,470,81,,,,180000,5800,,0.3,2,,,
2002/04/17,,St Georges Park Lake,11,11.2,8.35,410,11.2,,,,600,400,,0.1,5,,,
2002/04/17,,Dubbers Lane,12,10.4,7.81,1860,65,,,,1200,400,,53.3,< 2,,,
2002/04/17,,Eastville Park Lake,13,11.6,8.3,430,116,,,,400,,,0.12,19,,,
2002/04/17,,Snuff Mills,14,8,8.5,580,88,,,,800,,,0.15,< 2,,,
2002/04/17,,Mina Park ,15,10,8.55,730,98,,,,120000,800,,0.17,2,,,
2002/04/17,,Conham Vale,16,8.8,9,510,96,,,,40000,2200,,0.08,6,,,
2002/05/22,"Ron,Sr",Avonmouth Rhine,1,13.4,7,790,13,,,,1000,800,,26.1,3,,,
2002/05/22,"Ron,Sr",Trowbridge Road,2,12.2,7.45,430,77,,,,160000,19000,,0.39,5,,,
2002/05/22,"Ron,Sr",Coombe Dingle,3,11.4,7.5,400,72,,,,13000,5200,,0.3,3,,,
2002/05/22,"Ron,Sr",Crow Lane,3a,11.4,7.55,610,66,,,,80000,18000,,0.28,3,,,
2002/05/22,"Ron,Sr",Ashton vale,4,11.2,7.15,490,39,,,,320000,16000,,1.08,4,,,
2002/05/22,"Ron,Sr",Hartcliffe Way,5,12,7.4,380,85,,,,23000,4800,,0.7,4,,,
2002/05/22,"Ron,Sr",Manor Wood,6,11.4,7.4,470,80,,,,60000,13000,,0.45,3,,,
2002/05/22,"Ron,Sr",Malago Vale gasworks,7,11.8,7.55,460,70,,,,15000,2400,,0.37,3,,,
2002/05/22,"Ron,Sr",Lynet Way,8,11,7.55,490,79,,,,16000,5200,,0.38,4,,,
2002/05/22,"Ron,Sr",Cadogan Road,10,11.6,7.15,490,66,,,,60000,8200,,0.34,3,,,
2002/05/23,"Ron,Sr",Allison Road,9,10.8,7.4,510,77,,,,100000,12000,,0.16,2,,,
2002/05/23,"Ron,Sr",St Georges Park Lake,11,14.4,7.45,420,57,,,,1400,1000,,0.19,3,,,
2002/05/23,"Ron,Sr",Dubbers Lane,12,11.6,7.15,530,79,,,,9200,6200,,11,7,,,
2002/05/23,"Ron,Sr",Eastville Park Lake,13,16,7.55,450,68,,,,2200,2000,,0.26,8,,,
2002/05/23,"Ron,Sr",Snuff Mills,14,11.4,7.5,490,81,,,,7400,6800,,0.31,2,,,
2002/05/23,"Ron,Sr",Mina Park ,15,11,7.45,630,78,,,,,,,0.52,2,,,
2002/05/23,"Ron,Sr",Conham Vale,16,12.6,7.5,500,79,,,,8200,5400,,0.63,2,,,
2002/06/24,S,Avonmouth Rhine,1,15.2,7.1,1030,7,,,,3400,200,,31,9,,,
2002/06/24,S,Trowbridge Road,2,16,7.45,590,78,,,,40000,13000,,0.52,7,,,
2002/06/24,S,Coombe Dingle,3,12,7.45,660,79,,,,80000,60000,,0.2,2,,,
2002/06/24,S,Crow Lane,3a,13,7.4,700,59,,,,180000,16000,,0.52,3,,,
2002/06/24,S,Ashton vale,4,12,7.2,740,23,,,,140000,100000,,0.79,4,,,
2002/06/24,S,Hartcliffe Way,5,13.2,7.4,560,85,,,,80000,14000,,0.15,5,,,
2002/06/24,S,Manor Wood,6,12.6,7.35,550,68,,,,3800,600,,1.06,2,,,
2002/06/24,S,Malago Vale gasworks,7,11.6,7.35,650,57,,,,220000,15000,,0.23,2,,,
2002/06/24,S,Lynet Way,8,11.2,7.5,610,65,,,,18000,11000,,0.24,2,,,
2002/06/24,S,Allison Road,9,12.2,7.5,600,69,,,,3200,2200,,0.45,2,,,
2002/06/24,S,Cadogan Road,10,11.6,7.1,650,43,,,,6600,400,,0.4,5,,,
2002/06/24,S,St Georges Park Lake,11,17.2,7.5,400,70,,,,400,200,,0.47,7,,,
2002/06/24,S,Dubbers Lane,12,11.8,7.1,1390,67,,,,3000,1000,,45.6,2,61,,
2002/06/24,S,Eastville Park Lake,13,17.6,7.5,450,64,,,,600,200,,0.4,14,,,
2002/06/24,S,Snuff Mills,14,12.6,7.55,590,82,,,,5000,800,,0.4,2,,,
2002/06/24,S,Mina Park ,15,11.2,7.55,770,78,,,,9200,1000,,0.52,3,,,
2002/06/24,S,Conham Vale,16,15.2,7.6,550,81,,,,,,,0.43,2,,,
2002/07/24,Cl,Avonmouth Rhine,1,15,7.1,990,4,,,,3800,3200,,41.1,5,,,
2002/07/24,Cl,Trowbridge Road,2,14.6,7.35,710,67,,,,9800,5200,,0.42,3,,,
2002/07/24,Cl,Coombe Dingle,3,12.8,7.35,750,78,,,,60000,19000,,0.26,2,,,
2002/07/24,Cl,Crow Lane,3a,13.6,7.35,770,44,,,,80000,40000,,0.96,10,,,
2002/07/24,Cl,Ashton vale,4,13.2,7.15,910,29,,,,60000,40000,,0.42,10,,,
2002/07/24,Cl,Hartcliffe Way,5,14.4,7.3,700,80,,,,800,200,,0.16,2,,,
2002/07/24,Cl,Manor Wood,6,14,7.35,610,73,,,,19000,13000,,0.43,2,,,
2002/07/24,Cl,Malago Vale gasworks,7,13.6,7.1,750,69,,,,4600,800,,0.13,2,,,
2002/07/25,Cl,Lynet Way,8,12.6,7.43,700,64,,,,20000,8200,,0.1,2,,,
2002/07/25,Cl,Allison Road,9,13.4,7.45,670,77,,,,140000,80000,,0.2,2,,,
2002/07/25,Cl,Cadogan Road,10,13.6,7.3,760,62,,,,222000,17000,,1,2,,,
2002/07/25,Cl,St Georges Park Lake,11,17.2,7.65,460,84,,,,600,200,,0.1,11,,,
2002/07/25,Cl,Dubbers Lane,12,12.4,7.15,1510,63,,,,200,200,,45.3,2,39,,
2002/07/25,Cl,Eastville Park Lake,13,17.6,7.8,520,90,,,,1400,600,,0.1,14,,,
2002/07/25,Cl,Snuff Mills,14,13.8,7.6,710,79,,,,600,400,,0.1,2,,,
2002/07/25,Cl,Mina Park ,15,12,7.85,800,81,,,,15000,4200,,0.15,2,,,
2002/07/25,Cl,Conham Vale,16,15.8,7.5,640,76,,,,5000,3200,,0.16,2,,,
2002/08/21,S,Avonmouth Rhine,1,14.8,7.1,189,10,,,,2600,2400,,17.5,,,,
2002/08/21,S,Trowbridge Road,2,16,7.45,740,87,,,,2000,4200,,0.39,,,,
2002/08/21,S,Coombe Dingle,3,13.2,7.3,830,76,,,,140000,60000,,0.29,,,,
2002/08/21,S,Crow Lane,3a,13.6,7.25,950,54,,,,11000,2800,,0.57,,,,
2002/08/21,S,Ashton vale,4,13.6,7.2,980,58,,,,18000,2800,,0.46,,,,
2002/08/22,S,Hartcliffe Way,5,13.6,7.25,21,73,,,,2200,,,0.06,,,,
2002/08/22,S,Manor Wood,6,13.8,7.25,610,79,,,,17000,10000,,0.43,,,,
2002/08/22,S,Malago Vale gasworks,7,12.4,7.25,760,64,,,,4400,1000,,0.08,,,,
2002/08/22,S,Lynet Way,8,12.6,7.45,670,77,,,,10000,3200,,0.08,,,,
2002/08/22,S,Allison Road,9,14,7.55,630,77,,,,80000,60000,,0.12,,,,
2002/08/22,S,Cadogan Road,10,13.4,7.5,710,95,,,,60000,7200,,0.12,,,,
2002/08/22,S,St Georges Park Lake,11,136,7.6,660,83,,,,,200,,0.27,,,,
2002/08/22,S,Dubbers Lane,12,12.6,7.15,1420,69,,,,600,200,,40,,,,
2002/08/22,S,Eastville Park Lake,13,18.6,7.9,468,104,,,,,400,,0.17,,,,
2002/08/22,S,Snuff Mills,14,18.8,7.65,420,82,,,,1200,600,,0.13,,,,
2002/08/22,S,Mina Park ,15,13,7.6,760,82,,,,9200,1400,,0.22,,,,
2002/08/22,S,Conham Vale,16,17.2,7.55,590,91,,,,3400,2800,,0.38,,,,
2002/09/18,S,Avonmouth Rhine,1,12.4,6.7,1080,41,,,,2800,1400,,2.3,10,,,
2002/09/18,S,Trowbridge Road,2,14,7.3,18,41,,,,720000,16000,,1.49,9,,,
2002/09/18,S,Coombe Dingle,3,12.2,7.25,1050,35,,,,16000,11000,,0.21,2,,,
2002/09/18,S,Crow Lane,3a,13,7.3,1180,44,,,,400000,5000,,0.78,3,,,
2002/09/18,S,Ashton vale,4,14,7.3,,42,,,,620000,480000,,0.73,10,,,
2002/09/19,S,Hartcliffe Way,5,12,7.2,910,35,,,,1000,400,,0.01,2,,,
2002/09/19,S,Manor Wood,6,13.6,7.35,900,43,,,,160000,17000,,0.31,2,,,
2002/09/19,S,Malago Vale gasworks,7,10.6,7.25,1100,20,,,,13000,4200,,0.08,2,,,
2002/09/19,S,Lynet Way,8,11.6,7.35,1090,38,,,,80000,3400,,0.11,20,,,
2002/09/19,S,Allison Road,9,12.8,7.25,,36,,,,420000,13000,,0.44,4,,,
2002/09/19,S,Cadogan Road,10,12.4,7.35,1170,35,,,,180000,18000,,0.08,15,,,
2002/09/19,S,St Georges Park Lake,11,16,7.62,660,47,,,,600,400,,0.1,5,,,
2002/09/19,S,Dubbers Lane,12,12.8,6.95,3050,34,,,,2000,1800,,36.2,2,,,
